target_acc	min_dist_same	min_dist_opp	PDS_acc
PDT000000024.1	1	1	PDS000000558.1
PDT000000025.1	4	4	PDS000000558.1
PDT000000006.1	0	0	PDS000000557.1
PDT000000015.1	0	0	PDS000000557.1
PDT000000016.1	0	0	PDS000000557.1
PDT000000007.1	0	0	PDS000000557.1
PDT000000008.1	0	0	PDS000000557.1
PDT000000009.1	1	1	PDS000000557.1
PDT000000010.1	0	0	PDS000000557.1
PDT000000011.1	1	1	PDS000000557.1
PDT000000012.1	0	0	PDS000000557.1
PDT000000013.1	0	0	PDS000000557.1
PDT000000014.1	0	0	PDS000000557.1
PDT000003503.1			
PDT000005053.1	0		PDS000000545.1
PDT000005054.1	2		PDS000000102.2
PDT000005055.1	0		PDS000000549.1
PDT000005056.1	2		PDS000000547.1
PDT000005057.1	0		PDS000000545.1
PDT000005058.1	29	23	PDS000000311.1
PDT000005059.1	1		PDS000000101.2
PDT000005060.1	0		PDS000000549.1
PDT000005061.1	0	58	PDS000000105.2
PDT000005062.1	4		PDS000000101.2
PDT000005063.1	1		PDS000000101.2
PDT000005064.1	1	59	PDS000000105.2
PDT000005065.1	0	58	PDS000000105.2
PDT000005066.1	1		PDS000000101.2
PDT000005067.1	1		PDS000000549.1
PDT000005068.1	1		PDS000000101.2
PDT000005069.1	4		PDS000000101.2
PDT000005070.1	1		PDS000000549.1
PDT000005071.1	0		PDS000000102.2
PDT000005072.1	33	18	PDS000000007.2
PDT000005073.1	14		PDS000000291.1
PDT000005074.1	4		PDS000000101.2
PDT000005075.1	0		PDS000000549.1
PDT000005076.1	2		PDS000000101.2
PDT000005077.1	11		PDS000000538.1
PDT000005078.1	17		PDS000000556.1
PDT000005079.1	0		PDS000000102.2
PDT000005080.1	0		PDS000000537.1
PDT000005081.1	1		PDS000000549.1
PDT000005082.1	14		PDS000000556.1
PDT000005083.1	0		PDS000000549.1
PDT000005084.1	0		PDS000000549.1
PDT000005085.1	8		PDS000000549.1
PDT000005086.1			
PDT000005087.1	0		PDS000000539.1
PDT000005088.1	0	15	PDS000000561.1
PDT000005089.1	23		PDS000000544.1
PDT000005090.1	37		PDS000000039.2
PDT000005091.1	1		PDS000000102.2
PDT000005092.1	0		PDS000000102.2
PDT000005093.1	0		PDS000000102.2
PDT000005094.1	0	15	PDS000000561.1
PDT000005095.1	1	16	PDS000000561.1
PDT000005096.1	4		PDS000000104.2
PDT000005097.1	0	60	PDS000000561.1
PDT000005098.1	2		PDS000000539.1
PDT000005099.1			
PDT000005100.1	0		PDS000000102.2
PDT000005101.1	0	15	PDS000000561.1
PDT000005102.1	0	15	PDS000000561.1
PDT000005103.1	0	15	PDS000000561.1
PDT000005104.1	0	36	PDS000000105.2
PDT000005105.1	0		PDS000000102.2
PDT000005106.1		32	PDS000000555.1
PDT000005107.1	0	36	PDS000000105.2
PDT000005108.1	13	26	PDS000000561.1
PDT000005109.1		26	PDS000000553.1
PDT000005110.1	0		PDS000000102.2
PDT000005111.1	0		PDS000000102.2
PDT000005112.1	0	15	PDS000000561.1
PDT000005113.1	1		PDS000000539.1
PDT000005114.1	0	15	PDS000000561.1
PDT000005115.1	4	15	PDS000000561.1
PDT000005116.1	3		PDS000000102.2
PDT000005117.1	0	14	PDS000000561.1
PDT000005118.1	0		PDS000000102.2
PDT000005119.1	0		PDS000000102.2
PDT000005120.1	0	15	PDS000000561.1
PDT000005121.1	0	15	PDS000000561.1
PDT000005122.1	0		PDS000000102.2
PDT000005123.1	0		PDS000000102.2
PDT000005124.1	6		PDS000000102.2
PDT000005125.1	0	36	PDS000000105.2
PDT000005126.1	18	63	PDS000000105.2
PDT000005127.1	1		PDS000000549.1
PDT000005128.1	0	15	PDS000000561.1
PDT000005129.1	0		PDS000000539.1
PDT000005130.1	0	15	PDS000000561.1
PDT000005131.1	6		PDS000000537.1
PDT000005132.1	0		PDS000000537.1
PDT000005133.1	0		PDS000000537.1
PDT000005134.1	0		PDS000000537.1
PDT000005135.1	3		PDS000000537.1
PDT000005136.1	3		PDS000000537.1
PDT000005137.1	2		PDS000000537.1
PDT000005138.1			
PDT000005139.1	0		PDS000000549.1
PDT000005140.1	7	26	PDS000000552.1
PDT000005141.1	1		PDS000000550.1
PDT000005142.1	0	36	PDS000000105.2
PDT000005143.1	0		PDS000000549.1
PDT000005144.1	1		PDS000000549.1
PDT000005145.1	0		PDS000000548.1
PDT000005146.1	38		PDS000000349.1
PDT000005233.1	0		PDS000000102.2
PDT000005234.1	0	14	PDS000000561.1
PDT000005235.1	0	16	PDS000000561.1
PDT000005236.1	0		PDS000000539.1
PDT000005237.1	1		PDS000000101.2
PDT000005238.1	2		PDS000000548.1
PDT000005239.1	9	54	PDS000000105.2
PDT000005240.1	1		PDS000000102.2
PDT000005241.1	0	22	PDS000000008.2
PDT000005242.1	0	36	PDS000000105.2
PDT000005243.1	2	38	PDS000000105.2
PDT000005244.1	2	38	PDS000000105.2
PDT000005245.1	0	22	PDS000000008.2
PDT000005246.1	0		PDS000000537.1
PDT000005247.1	0		PDS000000102.2
PDT000005248.1	5		PDS000000549.1
PDT000005249.1	2	66	PDS000000311.1
PDT000005250.1	4	35	PDS000000311.1
PDT000005251.1	1		PDS000000537.1
PDT000005252.1	4	58	PDS000000105.2
PDT000005253.1	0		PDS000000537.1
PDT000005254.1	52		PDS000000548.1
PDT000005255.1	1	17	PDS000000561.1
PDT000005256.1	1	17	PDS000000561.1
PDT000005257.1	0		PDS000000537.1
PDT000005258.1	1		PDS000000537.1
PDT000005259.1	0		PDS000000537.1
PDT000005260.1	0		PDS000000550.1
PDT000005261.1			
PDT000005262.1	0	31	PDS000000311.1
PDT000005263.1	2	57	PDS000000105.2
PDT000005264.1	0	57	PDS000000105.2
PDT000005265.1	0	23	PDS000000008.2
PDT000005266.1	0	23	PDS000000008.2
PDT000005267.1	0	16	PDS000000561.1
PDT000005268.1	0	30	PDS000000311.1
PDT000005269.1	0		PDS000000102.2
PDT000005270.1	1		PDS000000550.1
PDT000005271.1	3		PDS000000551.1
PDT000005272.1	0		PDS000000550.1
PDT000005273.1	3		PDS000000550.1
PDT000005274.1	1	17	PDS000000561.1
PDT000005275.1	8		PDS000000547.1
PDT000005276.1	0	16	PDS000000561.1
PDT000005277.1	0		PDS000000102.2
PDT000005278.1	0	60	PDS000000561.1
PDT000005279.1	1	18	PDS000000561.1
PDT000005280.1	0	32	PDS000000311.1
PDT000005299.1	5		PDS000000104.2
PDT000005300.1	3		PDS000000547.1
PDT000005301.1	0		PDS000000547.1
PDT000005281.1	2		PDS000000547.1
PDT000005282.1	8		PDS000000547.1
PDT000005283.1	11	51	PDS000000105.2
PDT000005284.1	0		PDS000000539.1
PDT000005285.1	2		PDS000000537.1
PDT000005286.1	0		PDS000000102.2
PDT000005287.1	20		PDS000000291.1
PDT000005288.1	1		PDS000000537.1
PDT000005289.1	1		PDS000000102.2
PDT000005290.1	2		PDS000000549.1
PDT000005291.1	0		PDS000000548.1
PDT000005292.1	1	18	PDS000000561.1
PDT000005293.1	0	31	PDS000000311.1
PDT000005294.1	0	18	PDS000000561.1
PDT000005295.1	1		PDS000000102.2
PDT000005296.1	0		PDS000000102.2
PDT000005297.1	1		PDS000000102.2
PDT000005298.1	0		PDS000000548.1
PDT000005302.1	2		PDS000000547.1
PDT000005303.1	0	16	PDS000000561.1
PDT000005304.1	0		PDS000000547.1
PDT000005305.1	1		PDS000000104.2
PDT000005306.1	0		PDS000000104.2
PDT000005307.1	1	31	PDS000000311.1
PDT000005308.1	0	30	PDS000000311.1
PDT000005309.1	1		PDS000000102.2
PDT000005310.1	0	25	PDS000000130.2
PDT000005311.1	1		PDS000000549.1
PDT000005312.1	2	33	PDS000000311.1
PDT000005313.1	1		PDS000000102.2
PDT000005314.1	0	25	PDS000000130.2
PDT000005315.1	0		PDS000000537.1
PDT000005316.1	0		PDS000000102.2
PDT000005317.1	3		PDS000000104.2
PDT000005318.1	2	20	PDS000000561.1
PDT000005319.1	0	36	PDS000000130.2
PDT000005320.1	3		PDS000000104.2
PDT000005147.1	0		PDS000000550.1
PDT000005148.1	0		PDS000000550.1
PDT000005149.1	1		PDS000000537.1
PDT000005150.1	1		PDS000000104.2
PDT000005151.1	3		PDS000000550.1
PDT000005152.1	1		PDS000000550.1
PDT000005153.1	8		PDS000000549.1
PDT000005154.1	10		PDS000000549.1
PDT000005155.1	0		PDS000000104.2
PDT000005156.1	1	26	PDS000000130.2
PDT000005157.1	0	18	PDS000000561.1
PDT000005159.1	5		PDS000000104.2
PDT000005160.1	5		PDS000000104.2
PDT000005161.1	2		PDS000000546.1
PDT000005162.1	2	20	PDS000000561.1
PDT000005163.1	0	25	PDS000000130.2
PDT000005164.1	0		PDS000000537.1
PDT000005165.1	8		PDS000000549.1
PDT000005166.1	5		PDS000000549.1
PDT000005167.1	2		PDS000000546.1
PDT000005168.1	1		PDS000000542.1
PDT000005169.1	0	28	PDS000000311.1
PDT000005170.1	0	28	PDS000000311.1
PDT000005171.1	1		PDS000000549.1
PDT000005172.1	0		PDS000000542.1
PDT000005173.1	0		PDS000000104.2
PDT000005174.1	0		PDS000000104.2
PDT000005175.1	0		PDS000000104.2
PDT000005176.1	0		PDS000000104.2
PDT000005177.1	1		PDS000000542.1
PDT000005178.1	0		PDS000000542.1
PDT000005179.1	6	29	PDS000000130.2
PDT000005180.1	3		PDS000000542.1
PDT000005181.1	0		PDS000000537.1
PDT000005182.1	16	64	PDS000000105.2
PDT000005183.1	0	56	PDS000000105.2
PDT000005184.1	14		PDS000000545.1
PDT000005185.1	3		PDS000000101.2
PDT000005186.1	14		PDS000000556.1
PDT000005187.1	1		PDS000000537.1
PDT000005188.1	0		PDS000000537.1
PDT000005189.1	23		PDS000000544.1
PDT000005190.1	3		PDS000000539.1
PDT000005191.1	2	17	PDS000000561.1
PDT000005192.1	3	22	PDS000000130.2
PDT000005193.1	1	16	PDS000000561.1
PDT000005194.1	0		PDS000000539.1
PDT000005195.1	2	57	PDS000000105.2
PDT000005196.1	0		PDS000000548.1
PDT000005197.1	5		PDS000000549.1
PDT000005198.1	1	23	PDS000000008.2
PDT000005199.1	1	24	PDS000000008.2
PDT000005200.1	3		PDS000000537.1
PDT000005201.1	0		PDS000000537.1
PDT000005202.1	0	57	PDS000000105.2
PDT000005203.1	12		PDS000000542.1
PDT000005204.1	40		PDS000000541.1
PDT000005205.1	0		PDS000000539.1
PDT000005206.1	0		PDS000000547.1
PDT000005207.1	0		PDS000000547.1
PDT000005208.1	5		PDS000000537.1
PDT000005209.1	0	34	PDS000000311.1
PDT000005210.1	0		PDS000000104.2
PDT000005211.1	0		PDS000000102.2
PDT000005212.1	2		PDS000000549.1
PDT000005213.1	0		PDS000000104.2
PDT000005214.1	0		PDS000000104.2
PDT000005215.1	0	36	PDS000000130.2
PDT000005216.1	0		PDS000000537.1
PDT000005217.1	11		PDS000000039.2
PDT000005218.1	1		PDS000000549.1
PDT000005219.1	0		PDS000000542.1
PDT000005220.1	0		PDS000000542.1
PDT000005221.1	0	56	PDS000000105.2
PDT000005222.1	40		PDS000000541.1
PDT000005223.1	2	59	PDS000000105.2
PDT000005224.1	0		PDS000000104.2
PDT000005225.1	0		PDS000000104.2
PDT000005226.1	1		PDS000000104.2
PDT000005227.1	0		PDS000000104.2
PDT000005229.1	0		PDS000000549.1
PDT000003790.1	7		PDS000000540.1
PDT000003793.1	0	11	PDS000000576.1
PDT000003794.1	0		PDS000000540.1
PDT000003792.1	1	12	PDS000000116.2
PDT000003796.1			
PDT000003797.1	0	11	PDS000000116.2
PDT000003791.1	2	11	PDS000000116.2
PDT000003795.1	0	11	PDS000000116.2
PDT000007797.1	1	16	PDS000000561.1
PDT000007798.1	1	16	PDS000000561.1
PDT000007799.1	0	16	PDS000000561.1
PDT000007800.1	0	15	PDS000000561.1
PDT000007801.1	0	15	PDS000000561.1
PDT000007802.1	0	15	PDS000000561.1
PDT000007803.1	0	15	PDS000000561.1
PDT000007804.1	0	15	PDS000000561.1
PDT000007805.1	0	15	PDS000000561.1
PDT000007806.1	1	16	PDS000000561.1
PDT000007807.1	0	15	PDS000000561.1
PDT000007808.1	0	15	PDS000000561.1
PDT000007809.1	0	15	PDS000000561.1
PDT000007810.1	0	15	PDS000000561.1
PDT000007811.1	0	15	PDS000000561.1
PDT000007812.1	0	15	PDS000000561.1
PDT000007813.1	0	15	PDS000000561.1
PDT000007814.1	0	15	PDS000000561.1
PDT000007815.1	0	15	PDS000000561.1
PDT000007816.1	0	15	PDS000000561.1
PDT000007817.1	1	16	PDS000000561.1
PDT000007818.1	0	15	PDS000000561.1
PDT000007819.1	0	15	PDS000000561.1
PDT000007820.1	0	15	PDS000000561.1
PDT000007821.1	0	15	PDS000000561.1
PDT000007822.1	0	15	PDS000000561.1
PDT000007823.1	0	15	PDS000000561.1
PDT000007824.1	1	16	PDS000000561.1
PDT000007825.1	2	17	PDS000000561.1
PDT000007826.1	0	15	PDS000000561.1
PDT000007827.1	0	15	PDS000000561.1
PDT000007828.1	1	16	PDS000000561.1
PDT000007829.1	0	15	PDS000000561.1
PDT000007830.1	0	15	PDS000000561.1
PDT000007831.1	0	15	PDS000000561.1
PDT000007832.1	0	15	PDS000000561.1
PDT000007833.1	0	15	PDS000000561.1
PDT000007834.1	0	15	PDS000000561.1
PDT000007835.1	0	66	PDS000000311.1
PDT000007836.1	0	66	PDS000000311.1
PDT000007837.1	0	66	PDS000000311.1
PDT000007838.1	0	15	PDS000000561.1
PDT000007839.1	1	16	PDS000000561.1
PDT000007840.1	0	27	PDS000000311.1
PDT000007841.1	0	27	PDS000000311.1
PDT000007842.1	1	16	PDS000000561.1
PDT000007843.1	1	17	PDS000000561.1
PDT000007844.1	0	16	PDS000000561.1
PDT000007845.1	0	66	PDS000000311.1
PDT000007846.1	0	15	PDS000000561.1
PDT000007847.1	0	15	PDS000000561.1
PDT000007848.1	0	15	PDS000000561.1
PDT000007849.1	0	16	PDS000000561.1
PDT000007850.1	0	16	PDS000000561.1
PDT000007851.1	1	17	PDS000000561.1
PDT000007852.1	0	15	PDS000000561.1
PDT000007853.1	1	16	PDS000000561.1
PDT000007854.1	0	16	PDS000000561.1
PDT000007855.1	1	69	PDS000000311.1
PDT000007856.1	0	16	PDS000000561.1
PDT000007857.1	1	17	PDS000000561.1
PDT000007858.1	0	15	PDS000000561.1
PDT000007859.1	1	16	PDS000000561.1
PDT000007860.1	0	16	PDS000000561.1
PDT000007861.1	0	68	PDS000000311.1
PDT000007862.1	0		PDS000000539.1
PDT000007863.1	0	16	PDS000000561.1
PDT000007864.1	0		PDS000000539.1
PDT000007865.1	2		PDS000000539.1
PDT000007866.1	0	30	PDS000000311.1
PDT000007867.1	0	30	PDS000000311.1
PDT000007868.1	0	16	PDS000000561.1
PDT000007869.1	0	17	PDS000000561.1
PDT000007870.1	0	17	PDS000000561.1
PDT000007871.1	0	16	PDS000000561.1
PDT000007872.1	0	16	PDS000000561.1
PDT000007873.1	1	17	PDS000000561.1
PDT000007874.1	0	16	PDS000000561.1
PDT000007875.1	0	31	PDS000000311.1
PDT000007876.1	0	31	PDS000000311.1
PDT000007877.1	1	17	PDS000000561.1
PDT000007878.1	0	16	PDS000000561.1
PDT000007879.1	0	16	PDS000000561.1
PDT000007880.1	6		PDS000000539.1
PDT000007881.1	7		PDS000000539.1
PDT000007882.1	0	30	PDS000000311.1
PDT000007883.1	1	17	PDS000000561.1
PDT000007884.1	2	18	PDS000000561.1
PDT000007885.1	0	16	PDS000000561.1
PDT000007886.1	0	15	PDS000000561.1
PDT000007887.1	1	18	PDS000000561.1
PDT000007888.1	0	32	PDS000000311.1
PDT000007889.1	0	16	PDS000000561.1
PDT000007890.1	0	16	PDS000000561.1
PDT000007891.1	0	16	PDS000000561.1
PDT000007892.1	0		PDS000000539.1
PDT000007893.1	0	16	PDS000000561.1
PDT000007894.1	0	32	PDS000000311.1
PDT000007895.1	0	18	PDS000000561.1
PDT000007896.1	0	31	PDS000000311.1
PDT000007897.1	1	35	PDS000000311.1
PDT000007898.1	1	19	PDS000000561.1
PDT000007899.1	3	21	PDS000000561.1
PDT000007900.1	0	18	PDS000000561.1
PDT000007901.1	0	18	PDS000000561.1
PDT000007902.1	3	34	PDS000000311.1
PDT000007903.1	0	15	PDS000000561.1
PDT000007904.1	0	15	PDS000000561.1
PDT000007905.1	0	15	PDS000000561.1
PDT000007906.1	0	68	PDS000000311.1
PDT000007907.1	0	15	PDS000000561.1
PDT000007908.1	1		PDS000000539.1
PDT000007909.1	0	30	PDS000000311.1
PDT000007910.1	1	31	PDS000000311.1
PDT000007911.1	0	16	PDS000000561.1
PDT000007912.1	1	17	PDS000000561.1
PDT000007913.1	0	30	PDS000000311.1
PDT000007914.1	0	16	PDS000000561.1
PDT000007915.1	0	34	PDS000000311.1
PDT000007916.1	2	20	PDS000000561.1
PDT000007917.1	3	34	PDS000000311.1
PDT000007918.1	4	19	PDS000000561.1
PDT000007919.1	0	15	PDS000000561.1
PDT000007920.1	0	15	PDS000000561.1
PDT000007921.1	0	15	PDS000000561.1
PDT000007922.1	0	16	PDS000000561.1
PDT000007923.1	1	69	PDS000000311.1
PDT000007924.1	2	33	PDS000000311.1
PDT000007925.1	0	15	PDS000000561.1
PDT000007926.1	1	19	PDS000000561.1
PDT000007927.1			
PDT000007928.1	10	60	PDS000000105.2
PDT000007929.1	15		PDS000000538.1
PDT000007930.1	2		PDS000000104.2
PDT000007931.1	44		PDS000000542.1
PDT000007932.1	1	24	PDS000000561.1
PDT000007933.1			
PDT000007934.1	6		PDS000000101.2
PDT000007935.1	1	23	PDS000000561.1
PDT000007936.1	1		PDS000000291.1
PDT000007937.1	37		PDS000000551.1
PDT000007938.1	13		PDS000000546.1
PDT000007939.1	7		PDS000000101.2
PDT000007940.1			
PDT000007941.1	1		PDS000000101.2
PDT000007942.1	1		PDS000000101.2
PDT000007943.1	9		PDS000000546.1
PDT000007944.1	3	25	PDS000000008.2
PDT000007945.1	0		PDS000000546.1
PDT000007946.1	15		PDS000000538.1
PDT000007947.1	7		PDS000000538.1
PDT000007948.1			
PDT000007949.1	20	68	PDS000000105.2
PDT000007950.1	2		PDS000000104.2
PDT000007951.1	8		PDS000000547.1
PDT000007952.1	15		PDS000000537.1
PDT000007953.1	3		PDS000000550.1
PDT000007954.1	16	64	PDS000000105.2
PDT000007955.1	0	16	PDS000000561.1
PDT000007956.1			
PDT000007957.1			
PDT000007958.1	12		PDS000000549.1
PDT000007959.1	10		PDS000000104.2
PDT000007960.1	2		PDS000000104.2
PDT000007961.1	3		PDS000000104.2
PDT000007962.1	1		PDS000000542.1
PDT000007963.1	4	21	PDS000000008.2
PDT000007964.1	3		PDS000000542.1
PDT000007965.1	5		PDS000000101.2
PDT000007966.1	0		PDS000000546.1
PDT000007967.1	18		PDS000000549.1
PDT000007968.1	1		PDS000000291.1
PDT000007969.1	10		PDS000000102.2
PDT000007970.1	1	24	PDS000000561.1
PDT000007971.1	20	48	PDS000000105.2
PDT000007972.1			
PDT000007973.1	0		PDS000000542.1
PDT000007974.1	18		PDS000000537.1
PDT000007975.1	20	84	PDS000000105.2
PDT000007976.1	1		PDS000000101.2
PDT000007977.1	5		PDS000000104.2
PDT000007978.1	7		PDS000000538.1
PDT000007979.1	2		PDS000000104.2
PDT000007980.1	1		PDS000000291.1
PDT000007981.1	0		PDS000000542.1
PDT000007982.1	9		PDS000000546.1
PDT000007983.1	1		PDS000000542.1
PDT000007984.1	1		PDS000000542.1
PDT000007985.1			
PDT000007986.1	13		PDS000000104.2
PDT000007987.1	3		PDS000000550.1
PDT000007988.1	8		PDS000000537.1
PDT000007989.1	0		PDS000000546.1
PDT000007791.1	0	16	PDS000000561.1
PDT000007792.1	0	30	PDS000000311.1
PDT000007793.1	0	16	PDS000000561.1
PDT000007794.1	1	16	PDS000000561.1
PDT000007795.1	2	17	PDS000000561.1
PDT000007796.1	2	17	PDS000000561.1
PDT000003801.1	2	8	PDS000000110.2
PDT000003802.1	7	13	PDS000000110.2
PDT000003803.1	2	8	PDS000000110.2
PDT000003804.1	0	6	PDS000000110.2
PDT000003805.1	1	7	PDS000000110.2
PDT000003806.1	0	6	PDS000000110.2
PDT000003807.1	7	13	PDS000000111.2
PDT000003808.1	0	6	PDS000000110.2
PDT000003809.1	1	7	PDS000000110.2
PDT000003810.1	0	6	PDS000000110.2
PDT000003811.1	0	6	PDS000000110.2
PDT000003812.1	0	6	PDS000000110.2
PDT000003813.1	1	7	PDS000000110.2
PDT000003814.1	1	7	PDS000000110.2
PDT000003815.1	4	10	PDS000000110.2
PDT000003816.1	0	6	PDS000000110.2
PDT000003817.1	2	9	PDS000000110.2
PDT000003818.1	1	9	PDS000000110.2
PDT000003821.1	2	8	PDS000000110.2
PDT000003822.1	1	7	PDS000000110.2
PDT000003823.1	2	12	PDS000000110.2
PDT000003824.1	0	6	PDS000000110.2
PDT000003825.1	1	10	PDS000000110.2
PDT000003826.1	0	6	PDS000000110.2
PDT000004307.1			
PDT000004308.1	29	20	PDS000000527.1
PDT000004309.1	3		PDS000000435.1
PDT000004310.1	10	12	PDS000000534.1
PDT000004311.1	27	28	PDS000000527.1
PDT000004312.1	1	9	PDS000000534.1
PDT000004313.1		14	PDS000000528.1
PDT000004314.1			
PDT000004315.1	1	9	PDS000000534.1
PDT000004316.1	1	18	PDS000000534.1
PDT000004317.1	3	11	PDS000000534.1
PDT000004318.1	0	8	PDS000000534.1
PDT000004319.1	0	8	PDS000000534.1
PDT000004320.1	0	8	PDS000000534.1
PDT000004321.1	2	10	PDS000000534.1
PDT000004322.1	4		PDS000000535.1
PDT000004323.1	0	17	PDS000000534.1
PDT000004324.1	0	8	PDS000000534.1
PDT000004325.1	1	18	PDS000000534.1
PDT000004326.1	3	11	PDS000000534.1
PDT000004327.1	4		PDS000000535.1
PDT000004328.1	0	8	PDS000000534.1
PDT000004329.1	1	9	PDS000000534.1
PDT000004330.1	0	10	PDS000000534.1
PDT000004331.1	5	13	PDS000000534.1
PDT000004332.1	0	26	PDS000000110.2
PDT000004333.1			
PDT000004334.1	1	9	PDS000000534.1
PDT000004335.1	1	18	PDS000000534.1
PDT000004336.1	0	17	PDS000000534.1
PDT000004337.1	1	18	PDS000000534.1
PDT000004338.1	4		PDS000000535.1
PDT000004339.1	1	9	PDS000000534.1
PDT000004340.1	1	9	PDS000000534.1
PDT000004341.1	2	10	PDS000000534.1
PDT000004342.1	4	21	PDS000000534.1
PDT000004343.1	0	10	PDS000000534.1
PDT000004344.1	1	27	PDS000000110.2
PDT000004345.1		38	PDS000000536.1
PDT000004346.1	0	26	PDS000000110.2
PDT000004347.1	1	8	PDS000000110.2
PDT000004348.1	1	7	PDS000000110.2
PDT000004349.1	0	8	PDS000000534.1
PDT000004350.1	3	22	PDS000000534.1
PDT000004351.1	0	9	PDS000000110.2
PDT000004352.1	19		PDS000000535.1
PDT000004353.1	0	19	PDS000000534.1
PDT000004354.1	0	19	PDS000000534.1
PDT000004355.1	0	9	PDS000000110.2
PDT000004356.1	8	12	PDS000000110.2
PDT000004357.1	0	8	PDS000000534.1
PDT000004358.1	1	20	PDS000000534.1
PDT000004359.1	3	7	PDS000000534.1
PDT000004360.1	2		PDS000000535.1
PDT000004361.1	4		PDS000000535.1
PDT000004362.1	3		PDS000000535.1
PDT000004363.1	16	24	PDS000000534.1
PDT000004364.1	1	10	PDS000000110.2
PDT000004365.1	6	25	PDS000000534.1
PDT000004366.1	4	13	PDS000000110.2
PDT000004367.1	2		PDS000000535.1
PDT000004368.1	4		PDS000000535.1
PDT000004369.1	3	9	PDS000000110.2
PDT000004370.1	3	12	PDS000000110.2
PDT000004371.1	4	13	PDS000000110.2
PDT000004372.1	1		PDS000000435.1
PDT000004373.1			
PDT000004374.1	1		PDS000000435.1
PDT000004375.1	4	23	PDS000000110.2
PDT000004376.1	5	2	PDS000000110.2
PDT000004377.1	12	13	PDS000000531.1
PDT000004378.1	5	24	PDS000000110.2
PDT000004379.1	1	9	PDS000000534.1
PDT000004380.1	5	10	PDS000000110.2
PDT000004381.1	4		PDS000000535.1
PDT000004382.1	29		PDS000000364.1
PDT000004383.1	27	29	PDS000000523.1
PDT000004384.1			
PDT000004385.1	5		PDS000000535.1
PDT000004386.1	4	21	PDS000000534.1
PDT000004387.1	25	25	PDS000000110.2
PDT000004388.1	26	38	PDS000000197.1
