target_name,target_acc,amrfinder_results,nucleotide_fasta,protein_fasta,gff,contig_report
GCA_001025315.1,PDT000024166.1,GCA_001025315.1.amrfinder,GCA_001025315.1_ASM102531v1_genomic.fna,,,
GCA_001025325.1,PDT000024167.1,GCA_001025325.1.amrfinder,GCA_001025325.1_ASM102532v1_genomic.fna,,,
GCA_001025335.1,PDT000024168.1,GCA_001025335.1.amrfinder,GCA_001025335.1_ASM102533v1_genomic.fna,,,
GCA_001025375.1,PDT000024169.1,GCA_001025375.1.amrfinder,GCA_001025375.1_ASM102537v1_genomic.fna,,,
GCA_001025385.1,PDT000024170.1,GCA_001025385.1.amrfinder,GCA_001025385.1_ASM102538v1_genomic.fna,,,
GCA_001025405.1,PDT000024171.1,GCA_001025405.1.amrfinder,GCA_001025405.1_ASM102540v1_genomic.fna,,,
GCA_001025435.1,PDT000024172.1,GCA_001025435.1.amrfinder,GCA_001025435.1_ASM102543v1_genomic.fna,,,
GCA_001039515.1,PDT000024173.1,GCA_001039515.1.amrfinder,GCA_001039515.1_ASM103951v1_genomic.fna,,,
GCA_001052215.1,PDT000024174.1,GCA_001052215.1.amrfinder,GCA_001052215.1_ASM105221v1_genomic.fna,,,
GCA_001052275.1,PDT000024175.1,GCA_001052275.1.amrfinder,GCA_001052275.1_ASM105227v1_genomic.fna,,,
GCA_001052315.1,PDT000024176.1,GCA_001052315.1.amrfinder,GCA_001052315.1_ASM105231v1_genomic.fna,,,
GCA_001052395.1,PDT000024178.1,GCA_001052395.1.amrfinder,GCA_001052395.1_ASM105239v1_genomic.fna,,,
GCA_001052405.1,PDT000024177.1,GCA_001052405.1.amrfinder,GCA_001052405.1_ASM105240v1_genomic.fna,,,
GCA_001052435.1,PDT000024179.1,GCA_001052435.1.amrfinder,GCA_001052435.1_ASM105243v1_genomic.fna,,,
GCA_001052485.1,PDT000024180.1,GCA_001052485.1.amrfinder,GCA_001052485.1_ASM105248v1_genomic.fna,,,
GCA_001052685.1,PDT000024181.1,GCA_001052685.1.amrfinder,GCA_001052685.1_ASM105268v1_genomic.fna,,,
GCA_001052865.1,PDT000024182.1,GCA_001052865.1.amrfinder,GCA_001052865.1_ASM105286v1_genomic.fna,,,
GCA_001053015.1,PDT000024183.1,GCA_001053015.1.amrfinder,GCA_001053015.1_ASM105301v1_genomic.fna,,,
GCA_001053045.1,PDT000024184.1,GCA_001053045.1.amrfinder,GCA_001053045.1_ASM105304v1_genomic.fna,,,
GCA_001053105.1,PDT000024185.1,GCA_001053105.1.amrfinder,GCA_001053105.1_ASM105310v1_genomic.fna,,,
GCA_001053135.1,PDT000024187.1,GCA_001053135.1.amrfinder,GCA_001053135.1_ASM105313v1_genomic.fna,,,
GCA_001053145.1,PDT000024186.1,GCA_001053145.1.amrfinder,GCA_001053145.1_ASM105314v1_genomic.fna,,,
GCA_001053155.1,PDT000024188.1,GCA_001053155.1.amrfinder,GCA_001053155.1_ASM105315v1_genomic.fna,,,
GCA_001053215.1,PDT000024189.1,GCA_001053215.1.amrfinder,GCA_001053215.1_ASM105321v1_genomic.fna,,,
GCA_001053335.1,PDT000024190.1,GCA_001053335.1.amrfinder,GCA_001053335.1_ASM105333v1_genomic.fna,,,
GCA_001053375.1,PDT000024191.1,GCA_001053375.1.amrfinder,GCA_001053375.1_ASM105337v1_genomic.fna,,,
GCA_001053455.1,PDT000024192.1,GCA_001053455.1.amrfinder,GCA_001053455.1_ASM105345v1_genomic.fna,,,
GCA_001053475.1,PDT000024193.1,GCA_001053475.1.amrfinder,GCA_001053475.1_ASM105347v1_genomic.fna,,,
GCA_001053495.1,PDT000024194.1,GCA_001053495.1.amrfinder,GCA_001053495.1_ASM105349v1_genomic.fna,,,
GCA_001053515.1,PDT000024195.1,GCA_001053515.1.amrfinder,GCA_001053515.1_ASM105351v1_genomic.fna,,,
GCA_001053835.1,PDT000024196.1,GCA_001053835.1.amrfinder,GCA_001053835.1_ASM105383v1_genomic.fna,,,
GCA_001054015.1,PDT000024197.1,GCA_001054015.1.amrfinder,GCA_001054015.1_ASM105401v1_genomic.fna,,,
GCA_001054035.1,PDT000024198.1,GCA_001054035.1.amrfinder,GCA_001054035.1_ASM105403v1_genomic.fna,,,
GCA_001054055.1,PDT000024199.1,GCA_001054055.1.amrfinder,GCA_001054055.1_ASM105405v1_genomic.fna,,,
GCA_001054105.1,PDT000024200.1,GCA_001054105.1.amrfinder,GCA_001054105.1_ASM105410v1_genomic.fna,,,
GCA_001054215.1,PDT000024201.1,GCA_001054215.1.amrfinder,GCA_001054215.1_ASM105421v1_genomic.fna,,,
GCA_001054295.1,PDT000024202.1,GCA_001054295.1.amrfinder,GCA_001054295.1_ASM105429v1_genomic.fna,,,
GCA_001054355.1,PDT000024203.1,GCA_001054355.1.amrfinder,GCA_001054355.1_ASM105435v1_genomic.fna,,,
GCA_001054465.1,PDT000024204.1,GCA_001054465.1.amrfinder,GCA_001054465.1_ASM105446v1_genomic.fna,,,
GCA_001054535.1,PDT000024205.1,GCA_001054535.1.amrfinder,GCA_001054535.1_ASM105453v1_genomic.fna,,,
GCA_001054545.1,PDT000024206.1,GCA_001054545.1.amrfinder,GCA_001054545.1_ASM105454v1_genomic.fna,,,
GCA_001054585.1,PDT000024207.1,GCA_001054585.1.amrfinder,GCA_001054585.1_ASM105458v1_genomic.fna,,,
GCA_001054705.1,PDT000024208.1,GCA_001054705.1.amrfinder,GCA_001054705.1_ASM105470v1_genomic.fna,,,
GCA_001054775.1,PDT000024209.1,GCA_001054775.1.amrfinder,GCA_001054775.1_ASM105477v1_genomic.fna,,,
GCA_001054785.1,PDT000024210.1,GCA_001054785.1.amrfinder,GCA_001054785.1_ASM105478v1_genomic.fna,,,
GCA_001054975.1,PDT000024211.1,GCA_001054975.1.amrfinder,GCA_001054975.1_ASM105497v1_genomic.fna,,,
GCA_001055025.1,PDT000024212.1,GCA_001055025.1.amrfinder,GCA_001055025.1_ASM105502v1_genomic.fna,,,
GCA_001055055.1,PDT000024213.1,GCA_001055055.1.amrfinder,GCA_001055055.1_ASM105505v1_genomic.fna,,,
GCA_001055135.1,PDT000024214.1,GCA_001055135.1.amrfinder,GCA_001055135.1_ASM105513v1_genomic.fna,,,
GCA_001055235.1,PDT000024215.1,GCA_001055235.1.amrfinder,GCA_001055235.1_ASM105523v1_genomic.fna,,,
GCA_001055355.1,PDT000024216.1,GCA_001055355.1.amrfinder,GCA_001055355.1_ASM105535v1_genomic.fna,,,
GCA_001055395.1,PDT000024217.1,GCA_001055395.1.amrfinder,GCA_001055395.1_ASM105539v1_genomic.fna,,,
GCA_001055435.1,PDT000024218.1,GCA_001055435.1.amrfinder,GCA_001055435.1_ASM105543v1_genomic.fna,,,
GCA_001055445.1,PDT000024219.1,GCA_001055445.1.amrfinder,GCA_001055445.1_ASM105544v1_genomic.fna,,,
GCA_001055475.1,PDT000024220.1,GCA_001055475.1.amrfinder,GCA_001055475.1_ASM105547v1_genomic.fna,,,
GCA_001055675.1,PDT000024221.1,GCA_001055675.1.amrfinder,GCA_001055675.1_ASM105567v1_genomic.fna,,,
GCA_001055715.1,PDT000024223.1,GCA_001055715.1.amrfinder,GCA_001055715.1_ASM105571v1_genomic.fna,,,
GCA_001055725.1,PDT000024222.1,GCA_001055725.1.amrfinder,GCA_001055725.1_ASM105572v1_genomic.fna,,,
GCA_001055765.1,PDT000024224.1,GCA_001055765.1.amrfinder,GCA_001055765.1_ASM105576v1_genomic.fna,,,
GCA_001055845.1,PDT000024225.1,GCA_001055845.1.amrfinder,GCA_001055845.1_ASM105584v1_genomic.fna,,,
GCA_001055875.1,PDT000024226.1,GCA_001055875.1.amrfinder,GCA_001055875.1_ASM105587v1_genomic.fna,,,
GCA_001055935.1,PDT000024227.1,GCA_001055935.1.amrfinder,GCA_001055935.1_ASM105593v1_genomic.fna,,,
GCA_001055955.1,PDT000024228.1,GCA_001055955.1.amrfinder,GCA_001055955.1_ASM105595v1_genomic.fna,,,
GCA_001056045.1,PDT000024229.1,GCA_001056045.1.amrfinder,GCA_001056045.1_ASM105604v1_genomic.fna,,,
GCA_001056075.1,PDT000024230.1,GCA_001056075.1.amrfinder,GCA_001056075.1_ASM105607v1_genomic.fna,,,
GCA_001056115.1,PDT000024231.1,GCA_001056115.1.amrfinder,GCA_001056115.1_ASM105611v1_genomic.fna,,,
GCA_001056125.1,PDT000024233.1,GCA_001056125.1.amrfinder,GCA_001056125.1_ASM105612v1_genomic.fna,,,
GCA_001056135.1,PDT000024232.1,GCA_001056135.1.amrfinder,GCA_001056135.1_ASM105613v1_genomic.fna,,,
GCA_001056515.1,PDT000024234.1,GCA_001056515.1.amrfinder,GCA_001056515.1_ASM105651v1_genomic.fna,,,
GCA_001056555.1,PDT000024235.1,GCA_001056555.1.amrfinder,GCA_001056555.1_ASM105655v1_genomic.fna,,,
GCA_001056605.1,PDT000024237.1,GCA_001056605.1.amrfinder,GCA_001056605.1_ASM105660v1_genomic.fna,,,
GCA_001056625.1,PDT000024236.1,GCA_001056625.1.amrfinder,GCA_001056625.1_ASM105662v1_genomic.fna,,,
GCA_001056735.1,PDT000024238.1,GCA_001056735.1.amrfinder,GCA_001056735.1_ASM105673v1_genomic.fna,,,
GCA_001056745.1,PDT000024239.1,GCA_001056745.1.amrfinder,GCA_001056745.1_ASM105674v1_genomic.fna,,,
GCA_001056925.1,PDT000024240.1,GCA_001056925.1.amrfinder,GCA_001056925.1_ASM105692v1_genomic.fna,,,
GCA_001057145.1,PDT000024241.1,GCA_001057145.1.amrfinder,GCA_001057145.1_ASM105714v1_genomic.fna,,,
GCA_001057285.1,PDT000024242.1,GCA_001057285.1.amrfinder,GCA_001057285.1_ASM105728v1_genomic.fna,,,
GCA_001057325.1,PDT000024243.1,GCA_001057325.1.amrfinder,GCA_001057325.1_ASM105732v1_genomic.fna,,,
GCA_001057355.1,PDT000024244.1,GCA_001057355.1.amrfinder,GCA_001057355.1_ASM105735v1_genomic.fna,,,
GCA_001057435.1,PDT000024245.1,GCA_001057435.1.amrfinder,GCA_001057435.1_ASM105743v1_genomic.fna,,,
GCA_001057475.1,PDT000024246.1,GCA_001057475.1.amrfinder,GCA_001057475.1_ASM105747v1_genomic.fna,,,
GCA_001057515.1,PDT000024247.1,GCA_001057515.1.amrfinder,GCA_001057515.1_ASM105751v1_genomic.fna,,,
GCA_001057625.1,PDT000024248.1,GCA_001057625.1.amrfinder,GCA_001057625.1_ASM105762v1_genomic.fna,,,
GCA_001057765.1,PDT000024249.1,GCA_001057765.1.amrfinder,GCA_001057765.1_ASM105776v1_genomic.fna,,,
GCA_001057835.1,PDT000024250.1,GCA_001057835.1.amrfinder,GCA_001057835.1_ASM105783v1_genomic.fna,,,
GCA_001057865.1,PDT000024251.1,GCA_001057865.1.amrfinder,GCA_001057865.1_ASM105786v1_genomic.fna,,,
GCA_001057915.1,PDT000024252.1,GCA_001057915.1.amrfinder,GCA_001057915.1_ASM105791v1_genomic.fna,,,
GCA_001058015.1,PDT000024253.1,GCA_001058015.1.amrfinder,GCA_001058015.1_ASM105801v1_genomic.fna,,,
GCA_001058055.1,PDT000024255.1,GCA_001058055.1.amrfinder,GCA_001058055.1_ASM105805v1_genomic.fna,,,
GCA_001058065.1,PDT000024254.1,GCA_001058065.1.amrfinder,GCA_001058065.1_ASM105806v1_genomic.fna,,,
GCA_001058095.1,PDT000024256.1,GCA_001058095.1.amrfinder,GCA_001058095.1_ASM105809v1_genomic.fna,,,
GCA_001058125.1,PDT000024257.1,GCA_001058125.1.amrfinder,GCA_001058125.1_ASM105812v1_genomic.fna,,,
GCA_001058195.1,PDT000024258.1,GCA_001058195.1.amrfinder,GCA_001058195.1_ASM105819v1_genomic.fna,,,
GCA_001058285.1,PDT000024259.1,GCA_001058285.1.amrfinder,GCA_001058285.1_ASM105828v1_genomic.fna,,,
GCA_001058335.1,PDT000024260.1,GCA_001058335.1.amrfinder,GCA_001058335.1_ASM105833v1_genomic.fna,,,
GCA_001058665.1,PDT000024261.1,GCA_001058665.1.amrfinder,GCA_001058665.1_ASM105866v1_genomic.fna,,,
GCA_001058715.1,PDT000024262.1,GCA_001058715.1.amrfinder,GCA_001058715.1_ASM105871v1_genomic.fna,,,
GCA_001058855.1,PDT000024263.1,GCA_001058855.1.amrfinder,GCA_001058855.1_ASM105885v1_genomic.fna,,,
GCA_001058875.1,PDT000024264.1,GCA_001058875.1.amrfinder,GCA_001058875.1_ASM105887v1_genomic.fna,,,
GCA_001058945.1,PDT000024265.1,GCA_001058945.1.amrfinder,GCA_001058945.1_ASM105894v1_genomic.fna,,,
GCA_001058995.1,PDT000024266.1,GCA_001058995.1.amrfinder,GCA_001058995.1_ASM105899v1_genomic.fna,,,
GCA_001059045.1,PDT000024267.1,GCA_001059045.1.amrfinder,GCA_001059045.1_ASM105904v1_genomic.fna,,,
GCA_001059265.1,PDT000024268.1,GCA_001059265.1.amrfinder,GCA_001059265.1_ASM105926v1_genomic.fna,,,
GCA_001059345.1,PDT000024269.1,GCA_001059345.1.amrfinder,GCA_001059345.1_ASM105934v1_genomic.fna,,,
GCA_001059555.1,PDT000024270.1,GCA_001059555.1.amrfinder,GCA_001059555.1_ASM105955v1_genomic.fna,,,
GCA_001059635.1,PDT000024271.1,GCA_001059635.1.amrfinder,GCA_001059635.1_ASM105963v1_genomic.fna,,,
GCA_001059685.1,PDT000024272.1,GCA_001059685.1.amrfinder,GCA_001059685.1_ASM105968v1_genomic.fna,,,
GCA_001059755.1,PDT000024273.1,GCA_001059755.1.amrfinder,GCA_001059755.1_ASM105975v1_genomic.fna,,,
GCA_001059845.1,PDT000024274.1,GCA_001059845.1.amrfinder,GCA_001059845.1_ASM105984v1_genomic.fna,,,
GCA_001059885.1,PDT000024275.1,GCA_001059885.1.amrfinder,GCA_001059885.1_ASM105988v1_genomic.fna,,,
GCA_001059895.1,PDT000024276.1,GCA_001059895.1.amrfinder,GCA_001059895.1_ASM105989v1_genomic.fna,,,
GCA_001059965.1,PDT000024278.1,GCA_001059965.1.amrfinder,GCA_001059965.1_ASM105996v1_genomic.fna,,,
GCA_001059995.1,PDT000024277.1,GCA_001059995.1.amrfinder,GCA_001059995.1_ASM105999v1_genomic.fna,,,
GCA_001060035.1,PDT000024279.1,GCA_001060035.1.amrfinder,GCA_001060035.1_ASM106003v1_genomic.fna,,,
GCA_001060065.1,PDT000024280.1,GCA_001060065.1.amrfinder,GCA_001060065.1_ASM106006v1_genomic.fna,,,
GCA_001075715.1,PDT000024281.1,GCA_001075715.1.amrfinder,GCA_001075715.1_ASM107571v1_genomic.fna,,,
GCA_001075895.1,PDT000024282.1,GCA_001075895.1.amrfinder,GCA_001075895.1_ASM107589v1_genomic.fna,,,
GCA_001076335.1,PDT000024283.1,GCA_001076335.1.amrfinder,GCA_001076335.1_ASM107633v1_genomic.fna,,,
GCA_001280775.1,PDT000024286.1,GCA_001280775.1.amrfinder,GCA_001280775.1_ASM128077v1_genomic.fna,,,
GCA_001280825.1,PDT000027384.1,GCA_001280825.1.amrfinder,GCA_001280825.1_ASM128082v1_genomic.fna,,,
GCA_001544235.1,PDT000024376.1,GCA_001544235.1.amrfinder,GCA_001544235.1_ASM154423v1_genomic.fna,,,
GCA_001544255.1,PDT000024377.1,GCA_001544255.1.amrfinder,GCA_001544255.1_ASM154425v1_genomic.fna,,,
GCA_001563075.1,PDT000024437.1,GCA_001563075.1.amrfinder,GCA_001563075.1_ASM156307v1_genomic.fna,,,
GCA_001594365.1,PDT000024445.1,GCA_001594365.1.amrfinder,GCA_001594365.1_ASM159436v1_genomic.fna,,,
GCA_001662265.1,PDT000024451.1,GCA_001662265.1.amrfinder,GCA_001662265.1_ASM166226v1_genomic.fna,,,
GCA_001696275.1,PDT000024466.1,GCA_001696275.1.amrfinder,GCA_001696275.1_UCN73.1_genomic.fna,,,
GCA_001696285.1,PDT000024467.1,GCA_001696285.1.amrfinder,GCA_001696285.1_BM4107.1_genomic.fna,,,
GCA_001696305.1,PDT000024468.1,GCA_001696305.1.amrfinder,GCA_001696305.1_UCN72.1_genomic.fna,,,
GCA_001932015.2,PDT000024584.1,GCA_001932015.2.amrfinder,GCA_001932015.2_ASM193201v2_genomic.fna,,,
GCA_001969545.1,PDT000024544.1,GCA_001969545.1.amrfinder,GCA_001969545.1_ASM196954v1_genomic.fna,,,
GCA_001969615.1,PDT000024545.1,GCA_001969615.1.amrfinder,GCA_001969615.1_ASM196961v1_genomic.fna,,,
GCA_001969625.1,PDT000024546.1,GCA_001969625.1.amrfinder,GCA_001969625.1_ASM196962v1_genomic.fna,,,
GCA_001969645.1,PDT000024547.1,GCA_001969645.1.amrfinder,GCA_001969645.1_ASM196964v1_genomic.fna,,,
GCA_002006705.1,PDT000024564.1,GCA_002006705.1.amrfinder,GCA_002006705.1_ASM200670v1_genomic.fna,,,
GCA_002006745.1,PDT000024565.1,GCA_002006745.1.amrfinder,GCA_002006745.1_ASM200674v1_genomic.fna,,,
GCA_002024245.1,PDT000024573.1,GCA_002024245.1.amrfinder,GCA_002024245.1_ASM202424v1_genomic.fna,,,
GCA_002119055.1,PDT000024790.1,GCA_002119055.1.amrfinder,GCA_002119055.1_ASM211905v1_genomic.fna,,,
GCA_002119065.1,PDT000024791.1,GCA_002119065.1.amrfinder,GCA_002119065.1_ASM211906v1_genomic.fna,,,
GCA_002140075.1,PDT000024792.1,GCA_002140075.1.amrfinder,GCA_002140075.1_ASM214007v1_genomic.fna,,,
GCA_002288985.1,PDT000024865.1,GCA_002288985.1.amrfinder,GCA_002288985.1_ASM228898v1_genomic.fna,,,
GCA_002289025.1,PDT000024866.1,GCA_002289025.1.amrfinder,GCA_002289025.1_ASM228902v1_genomic.fna,,,
GCA_002289055.1,PDT000024867.1,GCA_002289055.1.amrfinder,GCA_002289055.1_ASM228905v1_genomic.fna,,,
GCA_002442955.1,PDT000024880.1,GCA_002442955.1.amrfinder,GCA_002442955.1_ASM244295v1_genomic.fna,,,
GCA_002894545.1,PDT000024950.1,GCA_002894545.1.amrfinder,GCA_002894545.1_ASM289454v1_genomic.fna,,,
GCA_002894565.1,PDT000024951.1,GCA_002894565.1.amrfinder,GCA_002894565.1_ASM289456v1_genomic.fna,,,
GCA_003020685.1,PDT000025162.1,GCA_003020685.1.amrfinder,GCA_003020685.1_ASM302068v1_genomic.fna,,,
GCA_003020705.1,PDT000025163.1,GCA_003020705.1.amrfinder,GCA_003020705.1_ASM302070v1_genomic.fna,,,
GCA_003020725.1,PDT000025164.1,GCA_003020725.1.amrfinder,GCA_003020725.1_ASM302072v1_genomic.fna,,,
GCA_003020745.1,PDT000025165.1,GCA_003020745.1.amrfinder,GCA_003020745.1_ASM302074v1_genomic.fna,,,
GCA_003020765.1,PDT000025166.1,GCA_003020765.1.amrfinder,GCA_003020765.1_ASM302076v1_genomic.fna,,,
GCA_003332845.1,PDT000025358.1,GCA_003332845.1.amrfinder,GCA_003332845.1_ASM333284v1_genomic.fna,,,
GCA_003697805.1,PDT000025418.1,GCA_003697805.1.amrfinder,GCA_003697805.1_ASM369780v1_genomic.fna,,,
GCA_003713175.1,PDT000025434.1,GCA_003713175.1.amrfinder,GCA_003713175.1_ASM371317v1_genomic.fna,,,
GCA_003719355.1,PDT000025435.1,GCA_003719355.1.amrfinder,GCA_003719355.1_ASM371935v1_genomic.fna,,,
GCA_003719365.1,PDT000025436.1,GCA_003719365.1.amrfinder,GCA_003719365.1_ASM371936v1_genomic.fna,,,
GCA_003947145.1,PDT000025574.1,GCA_003947145.1.amrfinder,GCA_003947145.1_ASM394714v1_genomic.fna,,,
GCA_003996775.1,PDT000025617.1,GCA_003996775.1.amrfinder,GCA_003996775.1_Ca-18_genomic.fna,,,
GCA_003996795.1,PDT000025618.1,GCA_003996795.1.amrfinder,GCA_003996795.1_Ca-2_genomic.fna,,,
GCA_004332015.1,PDT000025881.1,GCA_004332015.1.amrfinder,GCA_004332015.1_ASM433201v1_genomic.fna,,,
GCA_004332035.1,PDT000025882.1,GCA_004332035.1.amrfinder,GCA_004332035.1_ASM433203v1_genomic.fna,,,
GCA_004332055.1,PDT000025883.1,GCA_004332055.1.amrfinder,GCA_004332055.1_ASM433205v1_genomic.fna,,,
GCA_004802475.1,PDT000025890.1,GCA_004802475.1.amrfinder,GCA_004802475.1_ASM480247v1_genomic.fna,,,
GCA_005451945.1,PDT000026126.1,GCA_005451945.1.amrfinder,GCA_005451945.1_ASM545194v1_genomic.fna,,,
GCA_005844995.1,PDT000026134.1,GCA_005844995.1.amrfinder,GCA_005844995.1_ASM584499v1_genomic.fna,,,
GCA_005845015.1,PDT000026133.1,GCA_005845015.1.amrfinder,GCA_005845015.1_ASM584501v1_genomic.fna,,,
GCA_006337145.1,PDT000026147.1,GCA_006337145.1.amrfinder,GCA_006337145.1_ASM633714v1_genomic.fna,,,
GCA_006351785.1,PDT000026149.1,GCA_006351785.1.amrfinder,GCA_006351785.1_ASM635178v1_genomic.fna,,,
GCA_006494835.1,PDT000026194.1,GCA_006494835.1.amrfinder,GCA_006494835.1_ASM649483v1_genomic.fna,,,
GCA_006494855.1,PDT000026195.1,GCA_006494855.1.amrfinder,GCA_006494855.1_ASM649485v1_genomic.fna,,,
GCA_006494875.1,PDT000026196.1,GCA_006494875.1.amrfinder,GCA_006494875.1_ASM649487v1_genomic.fna,,,
GCA_006575625.1,PDT000026242.1,GCA_006575625.1.amrfinder,GCA_006575625.1_ASM657562v1_genomic.fna,,,
GCA_900092145.1,PDT000024470.1,GCA_900092145.1.amrfinder,GCA_900092145.1_Ef_S1_05_genomic.fna,,,
GCA_900092155.1,PDT000024469.1,GCA_900092155.1.amrfinder,GCA_900092155.1_Ef_S1_01_genomic.fna,,,
GCA_900092475.1,PDT000024579.1,GCA_900092475.1.amrfinder,GCA_900092475.1_Ef_aus00233_genomic.fna,,,
GCA_900117305.1,PDT000024492.1,GCA_900117305.1.amrfinder,GCA_900117305.1_PRJEB17655_genomic.fna,,,
GCA_900117325.1,PDT000024487.1,GCA_900117325.1.amrfinder,GCA_900117325.1_PRJEB17657_genomic.fna,,,
GCA_900117335.1,PDT000024488.1,GCA_900117335.1.amrfinder,GCA_900117335.1_PRJEB17656_genomic.fna,,,
GCA_900117345.1,PDT000024489.1,GCA_900117345.1.amrfinder,GCA_900117345.1_PRJEB17653_genomic.fna,,,
GCA_900117355.1,PDT000024491.1,GCA_900117355.1.amrfinder,GCA_900117355.1_PRJEB17659_genomic.fna,,,
GCA_900117365.1,PDT000024490.1,GCA_900117365.1.amrfinder,GCA_900117365.1_PRJEB17658_genomic.fna,,,
GCA_900128805.1,PDT000024499.1,GCA_900128805.1.amrfinder,GCA_900128805.1_Efaecium0.5_genomic.fna,,,
GCA_900128935.1,PDT000024501.1,GCA_900128935.1.amrfinder,GCA_900128935.1_Hp_76-17_S13__genomic.fna,,,
GCA_900143305.1,PDT000024502.1,GCA_900143305.1.amrfinder,GCA_900143305.1_Hp_74-d1_05_genomic.fna,,,
GCA_900143335.1,PDT000024510.1,GCA_900143335.1.amrfinder,GCA_900143335.1_Hp_5-10_05_genomic.fna,,,
GCA_900143345.1,PDT000024506.1,GCA_900143345.1.amrfinder,GCA_900143345.1_Hp_24-3_05_genomic.fna,,,
GCA_900143355.1,PDT000024505.1,GCA_900143355.1.amrfinder,GCA_900143355.1_Hp_21-21_05_genomic.fna,,,
GCA_900143365.1,PDT000024509.1,GCA_900143365.1.amrfinder,GCA_900143365.1_Hp_74-d5_05_genomic.fna,,,
