string_field_0,string_field_1,string_field_2,string_field_3
PDS000000104.2,PDT000024701.1,SAMEA3893622,GCA_900179055.1
PDS000000104.2,PDT000024715.1,SAMEA3893559,GCA_900178835.1
PDS000000104.2,PDT000024722.1,SAMEA3893569,GCA_900178905.1
PDS000000104.2,PDT000024734.1,SAMEA3893557,GCA_900178785.1
PDS000000104.2,PDT000024739.1,SAMEA3893554,GCA_900178715.1
PDS000000104.2,PDT000024740.1,SAMEA3893621,GCA_900178625.1
PDS000000104.2,PDT000024760.1,SAMEA3893566,GCA_900178975.1
PDS000000104.2,PDT000024763.1,SAMEA3893920,GCA_900178875.1
PDS000000104.2,PDT000024765.1,SAMEA3893684,GCA_900179915.1
PDS000000104.2,PDT000024782.1,SAMEA3893863,GCA_900178765.1
PDS000000104.2,PDT000024783.1,SAMEA3893549,GCA_900178925.1
PDS000000104.2,PDT000024785.1,SAMEA3893577,GCA_900178985.1
PDS000000104.2,PDT000024788.1,SAMEA3893575,GCA_900178595.1
PDS000000105.2,PDT000024396.1,SAMN04270946,GCA_001545855.1
PDS000000105.2,PDT000024625.1,SAMEA3893496,GCA_900179975.1
PDS000000105.2,PDT000024667.1,SAMEA3893494,GCA_900180035.1
PDS000000072.2,PDT000025254.1,SAMN09466873,GCA_003268245.1
PDS000000072.2,PDT000025625.1,SAMEA4885473,GCA_900639545.1
PDS000000072.2,PDT000025630.1,SAMEA4885755,GCA_900639595.1
PDS000000072.2,PDT000025631.1,SAMEA4885694,GCA_900639605.1
PDS000000072.2,PDT000025632.1,SAMEA4885722,GCA_900639615.1
PDS000000072.2,PDT000025633.1,SAMEA4885688,GCA_900639625.1
PDS000000561.1,PDT000025797.1,SAMN10824005,GCA_004152325.1
PDS000000101.2,PDT000024638.1,SAMEA3893492,GCA_900179925.1
PDS000000101.2,PDT000024657.1,SAMEA3893628,GCA_900179065.1
PDS000000101.2,PDT000024675.1,SAMEA3893630,GCA_900179105.1
PDS000000101.2,PDT000024681.1,SAMEA3894143,GCA_900180195.1
PDS000000101.2,PDT000024705.1,SAMEA3916223,GCA_900180325.1
PDS000000101.2,PDT000024712.1,SAMEA3893763,GCA_900179935.1
PDS000000101.2,PDT000024713.1,SAMEA3893627,GCA_900179075.1
PDS000000101.2,PDT000024723.1,SAMEA3941992,GCA_900180115.1
PDS000000101.2,PDT000024726.1,SAMEA3893629,GCA_900179095.1
PDS000000101.2,PDT000024764.1,SAMEA3893632,GCA_900179215.1
PDS000000101.2,PDT000024767.1,SAMEA3894136,GCA_900180165.1
PDS000000101.2,PDT000024768.1,SAMEA3894144,GCA_900180185.1
PDS000000101.2,PDT000024779.1,SAMEA3893631,GCA_900180465.1
PDS000000354.1,PDT000023920.1,SAMN00809203,GCA_000394635.1
PDS000000354.1,PDT000023921.1,SAMN00809204,GCA_000394655.1
PDS000000354.1,PDT000023922.1,SAMN00809205,GCA_000394675.1
PDS000000354.1,PDT000023923.1,SAMN00809206,GCA_000394695.1
PDS000000354.1,PDT000023924.1,SAMN00809207,GCA_000394715.1
PDS000000354.1,PDT000023925.1,SAMN00809208,GCA_000394735.1
PDS000000354.1,PDT000023926.1,SAMN00809209,GCA_000394755.1
PDS000000354.1,PDT000024038.1,SAMN02596966,GCA_000407065.1
PDS000000354.1,PDT000024039.1,SAMN02596967,GCA_000407085.1
PDS000000354.1,PDT000024040.1,SAMN02596968,GCA_000407105.1
PDS000000354.1,PDT000024042.1,SAMN02596967,GCA_000407325.1
PDS000000354.1,PDT000024043.1,SAMN02596968,GCA_000407345.1
PDS000000354.1,PDT000024045.1,SAMN02596966,GCA_000407625.1
PDS000000354.1,PDT000024182.1,SAMN03197122,GCA_001052865.1
PDS000000354.1,PDT000024215.1,SAMN03197708,GCA_001055235.1
PDS000000354.1,PDT000024234.1,SAMN03197568,GCA_001056515.1
PDS000000354.1,PDT000024265.1,SAMN03197907,GCA_001058945.1
PDS000000354.1,PDT000024270.1,SAMN03198116,GCA_001059555.1
PDS000000354.1,PDT000024296.1,SAMN02299516,GCA_000294815.2
PDS000000354.1,PDT000024341.1,SAMN02299486,GCA_000295575.2
PDS000000354.1,PDT000024448.1,SAMN03486724,GCA_001635875.1
PDS000000354.1,PDT000024473.1,SAMN03988555,GCA_001720985.1
PDS000000354.1,PDT000024475.1,SAMN03988560,GCA_001721025.1
PDS000000354.1,PDT000024478.1,SAMN03988629,GCA_001721105.1
PDS000000354.1,PDT000024536.1,SAMN03988631,GCA_001953235.1
PDS000000354.1,PDT000024537.1,SAMN03988627,GCA_001953255.1
PDS000000354.1,PDT000024906.1,SAMN05933399,GCA_002761255.1
PDS000000354.1,PDT000024907.1,SAMN05933400,GCA_002761275.1
PDS000000354.1,PDT000024911.1,SAMN05933398,GCA_002777275.1
PDS000000354.1,PDT000024927.1,SAMN07679728,GCA_002848625.1
PDS000000354.1,PDT000024928.1,SAMN07679729,GCA_002848645.1
PDS000000354.1,PDT000024929.1,SAMN07679731,GCA_002848665.1
PDS000000354.1,PDT000024930.1,SAMN07679730,GCA_002848685.1
PDS000000354.1,PDT000024931.1,SAMN07679734,GCA_002848705.1
PDS000000354.1,PDT000024932.1,SAMN07679733,GCA_002848725.1
PDS000000354.1,PDT000024933.1,SAMN07679732,GCA_002848745.1
PDS000000354.1,PDT000024942.1,SAMN06252387,GCA_002880635.1
PDS000000354.1,PDT000025780.1,SAMN10823983,GCA_004151985.1
PDS000000354.1,PDT000025783.1,SAMN10823978,GCA_004152065.1
PDS000000354.1,PDT000025796.1,SAMN10823960,GCA_004152305.1
PDS000000311.1,PDT000024629.1,SAMEA3893643,GCA_900179475.1
PDS000000576.1,PDT000024641.1,SAMEA3893584,GCA_900178805.1
PDS000000576.1,PDT000024695.1,SAMEA3916192,GCA_900180275.1
PDS000000576.1,PDT000024736.1,SAMEA3893586,GCA_900178685.1
PDS000000576.1,PDT000025161.1,SAMN08149822,GCA_002997345.1
PDS000000576.1,PDT000025259.1,SAMN09469426,GCA_003284785.1
PDS000000576.1,PDT000025410.1,SAMN09836114,GCA_003408975.1
PDS000000576.1,PDT000025411.1,SAMN09836112,GCA_003408995.1
PDS000000576.1,PDT000025629.1,SAMEA4885488,GCA_900639585.1
PDS000000576.1,PDT000025638.1,SAMEA4885795,GCA_900639725.1
PDS000000576.1,PDT000025837.1,SAMN10869090,GCA_004300275.1
PDS000000102.2,PDT000024612.1,SAMEA3893719,GCA_900179735.1
PDS000000102.2,PDT000024613.1,SAMEA3893523,GCA_900179015.1
PDS000000102.2,PDT000024614.1,SAMEA3893504,GCA_900178945.1
PDS000000102.2,PDT000024615.1,SAMEA3893581,GCA_900179655.1
PDS000000102.2,PDT000024616.1,SAMEA3893565,GCA_900179575.1
PDS000000102.2,PDT000024618.1,SAMEA3893564,GCA_900179585.1
PDS000000102.2,PDT000024619.1,SAMEA3893875,GCA_900179045.1
PDS000000102.2,PDT000024620.1,SAMEA3893587,GCA_900179695.1
PDS000000102.2,PDT000024626.1,SAMEA3893525,GCA_900179465.1
PDS000000102.2,PDT000024628.1,SAMEA3893637,GCA_900179305.1
PDS000000102.2,PDT000024631.1,SAMEA3893553,GCA_900179505.1
PDS000000102.2,PDT000024633.1,SAMEA3893517,GCA_900178585.1
PDS000000102.2,PDT000024634.1,SAMEA3893536,GCA_900178615.1
PDS000000102.2,PDT000024637.1,SAMEA3893593,GCA_900179905.1
PDS000000102.2,PDT000024639.1,SAMEA3893533,GCA_900178605.1
PDS000000102.2,PDT000024640.1,SAMEA3893600,GCA_900179865.1
PDS000000102.2,PDT000024643.1,SAMEA3893474,GCA_900179755.1
PDS000000102.2,PDT000024644.1,SAMEA3893518,GCA_900179255.1
PDS000000102.2,PDT000024651.1,SAMEA3916187,GCA_900180235.1
PDS000000102.2,PDT000024652.1,SAMEA3893481,GCA_900179795.1
PDS000000102.2,PDT000024653.1,SAMEA3893483,GCA_900179725.1
PDS000000102.2,PDT000024654.1,SAMEA3894134,GCA_900180135.1
PDS000000102.2,PDT000024658.1,SAMEA3893531,GCA_900178885.1
PDS000000102.2,PDT000024659.1,SAMEA3893537,GCA_900179325.1
PDS000000102.2,PDT000024660.1,SAMEA3893515,GCA_900179535.1
PDS000000102.2,PDT000024662.1,SAMEA3893509,GCA_900178665.1
PDS000000102.2,PDT000024664.1,SAMEA3893551,GCA_900179395.1
PDS000000102.2,PDT000024666.1,SAMEA3893606,GCA_900179945.1
PDS000000102.2,PDT000024671.1,SAMEA3893558,GCA_900179525.1
PDS000000102.2,PDT000024672.1,SAMEA3893876,GCA_900178675.1
PDS000000102.2,PDT000024673.1,SAMEA3894133,GCA_900180125.1
PDS000000102.2,PDT000024674.1,SAMEA3893877,GCA_900178695.1
PDS000000102.2,PDT000024676.1,SAMEA3893605,GCA_900179815.1
PDS000000102.2,PDT000024677.1,SAMEA3893526,GCA_900178865.1
PDS000000102.2,PDT000024682.1,SAMEA3893560,GCA_900179555.1
PDS000000102.2,PDT000024688.1,SAMEA3893514,GCA_900178895.1
PDS000000102.2,PDT000024689.1,SAMEA3893596,GCA_900179895.1
PDS000000102.2,PDT000024690.1,SAMEA3893578,GCA_900179675.1
PDS000000102.2,PDT000024691.1,SAMEA3893507,GCA_900179405.1
PDS000000102.2,PDT000024693.1,SAMEA3893506,GCA_900179025.1
PDS000000102.2,PDT000024694.1,SAMEA3893539,GCA_900179485.1
PDS000000102.2,PDT000024696.1,SAMEA3893874,GCA_900178705.1
PDS000000102.2,PDT000024697.1,SAMEA3893527,GCA_900179245.1
PDS000000102.2,PDT000024699.1,SAMEA3893478,GCA_900179985.1
PDS000000102.2,PDT000024700.1,SAMEA3893591,GCA_900179685.1
PDS000000102.2,PDT000024706.1,SAMEA3893500,GCA_900178955.1
PDS000000102.2,PDT000024707.1,SAMEA3893608,GCA_900179955.1
PDS000000102.2,PDT000024708.1,SAMEA3893721,GCA_900179835.1
PDS000000102.2,PDT000024714.1,SAMEA3893550,GCA_900179455.1
PDS000000102.2,PDT000024717.1,SAMEA3893541,GCA_900178575.1
PDS000000102.2,PDT000024719.1,SAMEA3893568,GCA_900179605.1
PDS000000102.2,PDT000024721.1,SAMEA3893511,GCA_900179375.1
PDS000000102.2,PDT000024725.1,SAMEA3893502,GCA_900178735.1
PDS000000102.2,PDT000024727.1,SAMEA3893589,GCA_900179705.1
PDS000000102.2,PDT000024728.1,SAMEA3893562,GCA_900179565.1
PDS000000102.2,PDT000024730.1,SAMEA3893540,GCA_900179195.1
PDS000000102.2,PDT000024731.1,SAMEA3893488,GCA_900180015.1
PDS000000102.2,PDT000024733.1,SAMEA3893601,GCA_900179745.1
PDS000000102.2,PDT000024735.1,SAMEA3893547,GCA_900179185.1
PDS000000102.2,PDT000024737.1,SAMEA3893508,GCA_900179155.1
PDS000000102.2,PDT000024738.1,SAMEA3893585,GCA_900179645.1
PDS000000102.2,PDT000024741.1,SAMEA3893528,GCA_900178825.1
PDS000000102.2,PDT000024742.1,SAMEA3894135,GCA_900180145.1
PDS000000102.2,PDT000024743.1,SAMEA3893542,GCA_900179415.1
PDS000000102.2,PDT000024744.1,SAMEA3893592,GCA_900180455.1
PDS000000102.2,PDT000024745.1,SAMEA3893573,GCA_900179615.1
PDS000000102.2,PDT000024746.1,SAMEA3893611,GCA_900180045.1
PDS000000102.2,PDT000024748.1,SAMEA3893567,GCA_900179595.1
PDS000000102.2,PDT000024753.1,SAMEA3893520,GCA_900179315.1
PDS000000102.2,PDT000024755.1,SAMEA3893545,GCA_900179365.1
PDS000000102.2,PDT000024756.1,SAMEA3893476,GCA_900179845.1
PDS000000102.2,PDT000024757.1,SAMEA3893532,GCA_900179145.1
PDS000000102.2,PDT000024759.1,SAMEA3893597,GCA_900179855.1
PDS000000102.2,PDT000024762.1,SAMEA3893513,GCA_900179545.1
PDS000000102.2,PDT000024769.1,SAMEA3893583,GCA_900179715.1
PDS000000102.2,PDT000024770.1,SAMEA3893544,GCA_900179495.1
PDS000000102.2,PDT000024771.1,SAMEA3893524,GCA_900179125.1
PDS000000102.2,PDT000024773.1,SAMEA3893486,GCA_900179775.1
PDS000000102.2,PDT000024774.1,SAMEA3893579,GCA_900179665.1
PDS000000102.2,PDT000024775.1,SAMEA3893595,GCA_900180025.1
PDS000000102.2,PDT000024776.1,SAMEA3893516,GCA_900179135.1
PDS000000102.2,PDT000024777.1,SAMEA3893607,GCA_900179825.1
PDS000000102.2,PDT000024781.1,SAMEA3893576,GCA_900179625.1
PDS000000102.2,PDT000024784.1,SAMEA3893603,GCA_900179965.1
PDS000000102.2,PDT000024786.1,SAMEA3893572,GCA_900179635.1
PDS000000102.2,PDT000024787.1,SAMEA3893503,GCA_900179265.1
PDS000000102.2,PDT000024789.1,SAMEA3893535,GCA_900179165.1
PDS000000130.2,PDT000027348.1,SAMEA104567688,GCA_902161605.1
PDS000000012.2,PDT000025650.1,SAMEA4885076,GCA_900639455.1
PDS000000074.2,PDT000025226.1,SAMN06621458,GCA_003071425.1
PDS000000074.2,PDT000025227.1,SAMN06621457,GCA_003071445.1
PDS000000132.1,PDT000025645.1,SAMEA4884860,GCA_900639395.1
PDS000000291.1,PDT000024623.1,SAMEA3893639,GCA_900179515.1
PDS000000121.2,PDT000024876.1,SAMN06111317,GCA_002442275.1
PDS000000121.2,PDT000025622.1,SAMEA4885352,GCA_900639515.1
PDS000000121.2,PDT000025623.1,SAMEA4885360,GCA_900639525.1
PDS000000436.1,PDT000024877.1,SAMN06111319,GCA_002442315.1
PDS000000066.2,PDT000023701.1,SAMN00779852,GCA_000322465.1
PDS000000066.2,PDT000023702.1,SAMN00779851,GCA_000322445.1
PDS000000066.2,PDT000025648.1,SAMEA4884974,GCA_900639425.1
PDS000000037.2,PDT000023975.1,SAMN00809005,GCA_000395825.1
PDS000000037.2,PDT000024116.1,SAMN02567768,GCA_000632315.1
PDS000000037.2,PDT000024117.1,SAMN02567769,GCA_000632335.1
PDS000000037.2,PDT000024118.1,SAMN02567759,GCA_000632355.1
PDS000000107.2,PDT000024329.1,SAMN02299479,GCA_000295055.2
PDS000000107.2,PDT000026139.1,SAMN11848047,GCA_005952885.1
PDS000000016.2,PDT000025901.1,SAMN09435322,GCA_005234295.1
PDS000000016.2,PDT000025902.1,SAMN09435319,GCA_005234315.1
PDS000000016.2,PDT000025903.1,SAMN09435314,GCA_005234325.1
PDS000000016.2,PDT000025904.1,SAMN09435313,GCA_005234345.1
PDS000000016.2,PDT000025905.1,SAMN09435312,GCA_005234365.1
PDS000000016.2,PDT000025906.1,SAMN09435311,GCA_005234395.1
PDS000000016.2,PDT000025910.1,SAMN09435297,GCA_005234485.1
PDS000000016.2,PDT000025911.1,SAMN09435290,GCA_005234505.1
PDS000000016.2,PDT000025912.1,SAMN09435285,GCA_005234495.1
PDS000000016.2,PDT000025913.1,SAMN09435283,GCA_005234515.1
PDS000000016.2,PDT000025936.1,SAMN09435323,GCA_005235015.1
PDS000000016.2,PDT000025937.1,SAMN09435321,GCA_005235045.1
PDS000000016.2,PDT000025938.1,SAMN09435320,GCA_005235075.1
PDS000000016.2,PDT000025939.1,SAMN09435318,GCA_005235115.1
PDS000000016.2,PDT000025940.1,SAMN09435317,GCA_005235275.1
PDS000000016.2,PDT000025942.1,SAMN09435315,GCA_005235295.1
PDS000000016.2,PDT000025943.1,SAMN09435316,GCA_005235285.1
PDS000000016.2,PDT000025947.1,SAMN09435310,GCA_005235305.1
PDS000000016.2,PDT000025952.1,SAMN09435296,GCA_005235495.1
PDS000000016.2,PDT000025953.1,SAMN09435295,GCA_005235535.1
PDS000000016.2,PDT000025954.1,SAMN09435294,GCA_005235565.1
PDS000000016.2,PDT000025955.1,SAMN09435293,GCA_005235575.1
PDS000000016.2,PDT000025956.1,SAMN09435292,GCA_005235585.1
PDS000000016.2,PDT000025957.1,SAMN09435288,GCA_005235635.1
PDS000000016.2,PDT000025958.1,SAMN09435287,GCA_005235645.1
PDS000000016.2,PDT000025959.1,SAMN09435286,GCA_005235655.1
PDS000000016.2,PDT000025960.1,SAMN09435284,GCA_005235665.1
PDS000000016.2,PDT000025962.1,SAMN09435289,GCA_005235725.1
PDS000000016.2,PDT000025963.1,SAMN09435282,GCA_005235685.1
PDS000000016.2,PDT000026125.1,SAMN09435291,GCA_005287905.1
PDS000000103.2,PDT000024610.1,SAMEA3894146,GCA_900180215.1
PDS000000103.2,PDT000024611.1,SAMEA3916201,GCA_900180315.1
PDS000000103.2,PDT000024624.1,SAMEA3893676,GCA_900180075.1
PDS000000103.2,PDT000024627.1,SAMEA3916083,GCA_900180295.1
PDS000000103.2,PDT000024630.1,SAMEA3893664,GCA_900179805.1
PDS000000103.2,PDT000024645.1,SAMEA3916084,GCA_900180285.1
PDS000000103.2,PDT000024656.1,SAMEA3893662,GCA_900179425.1
PDS000000103.2,PDT000024668.1,SAMEA3893683,GCA_900180005.1
PDS000000103.2,PDT000024670.1,SAMEA3894147,GCA_900180255.1
PDS000000103.2,PDT000024683.1,SAMEA3893667,GCA_900179995.1
PDS000000103.2,PDT000024686.1,SAMEA3916085,GCA_900180305.1
PDS000000103.2,PDT000024687.1,SAMEA3893680,GCA_900180095.1
PDS000000103.2,PDT000024698.1,SAMEA3893657,GCA_900179205.1
PDS000000103.2,PDT000024703.1,SAMEA3893673,GCA_900180065.1
PDS000000103.2,PDT000024710.1,SAMEA3893896,GCA_900179035.1
PDS000000103.2,PDT000024711.1,SAMEA3893894,GCA_900179005.1
PDS000000103.2,PDT000024716.1,SAMEA3893659,GCA_900179355.1
PDS000000103.2,PDT000024720.1,SAMEA3893760,GCA_900179885.1
PDS000000103.2,PDT000024724.1,SAMEA3916226,GCA_900180265.1
PDS000000103.2,PDT000024749.1,SAMEA3893678,GCA_900180085.1
PDS000000103.2,PDT000024750.1,SAMEA3893660,GCA_900179275.1
PDS000000103.2,PDT000024751.1,SAMEA3893671,GCA_900180055.1
PDS000000103.2,PDT000024752.1,SAMEA3893681,GCA_900180105.1
PDS000000103.2,PDT000024766.1,SAMEA3894148,GCA_900180225.1
PDS000000103.2,PDT000024778.1,SAMEA3893759,GCA_900179765.1
PDS000000103.2,PDT000024780.1,SAMEA3893666,GCA_900179875.1
PDS000000092.2,PDT000024854.1,SAMN07274325,GCA_002260625.1
PDS000000092.2,PDT000024856.1,SAMN07274322,GCA_002260765.1
PDS000000092.2,PDT000024858.1,SAMN07274324,GCA_002260825.1
PDS000000084.2,PDT000023640.1,SAMN02471515,GCA_000172915.1
PDS000000084.2,PDT000023703.1,SAMN00779849,GCA_000322405.1
PDS000000084.2,PDT000024572.1,SAMN06327204,GCA_002009635.1
PDS000000117.2,PDT000024480.1,SAMN04045274,GCA_001750885.1
PDS000000117.2,PDT000024880.1,SAMN06006823,GCA_002442955.1
PDS000000039.2,PDT000025528.1,SAMN10248942,GCA_003936585.1
PDS000000039.2,PDT000025530.1,SAMN10249139,GCA_003936615.1
PDS000000039.2,PDT000025531.1,SAMN10249023,GCA_003937285.1
PDS000000039.2,PDT000025532.1,SAMN10249079,GCA_003937355.1
PDS000000039.2,PDT000025533.1,SAMN10249058,GCA_003937575.1
PDS000000039.2,PDT000025535.1,SAMN10249020,GCA_003937635.1
PDS000000039.2,PDT000025536.1,SAMN10249088,GCA_003937935.1
PDS000000039.2,PDT000025540.1,SAMN10248973,GCA_003938045.1
PDS000000039.2,PDT000025541.1,SAMN10249106,GCA_003938065.1
PDS000000039.2,PDT000025542.1,SAMN10249112,GCA_003938105.1
PDS000000039.2,PDT000025545.1,SAMN10249158,GCA_003938265.1
PDS000000039.2,PDT000025548.1,SAMN10249219,GCA_003938305.1
PDS000000039.2,PDT000025550.1,SAMN10249122,GCA_003938365.1
PDS000000039.2,PDT000025551.1,SAMN10249190,GCA_003938375.1
PDS000000039.2,PDT000025552.1,SAMN10248979,GCA_003938395.1
PDS000000039.2,PDT000025553.1,SAMN10249087,GCA_003938445.1
PDS000000039.2,PDT000025554.1,SAMN10249142,GCA_003938505.1
PDS000000039.2,PDT000025556.1,SAMN10249031,GCA_003938495.1
PDS000000039.2,PDT000025558.1,SAMN10249182,GCA_003938515.1
PDS000000039.2,PDT000025559.1,SAMN10249006,GCA_003939145.1
PDS000000039.2,PDT000025560.1,SAMN10249045,GCA_003939165.1
PDS000000039.2,PDT000025561.1,SAMN10248968,GCA_003939175.1
PDS000000039.2,PDT000025563.1,SAMN10249098,GCA_003939215.1
PDS000000039.2,PDT000025564.1,SAMN10248949,GCA_003939705.1
PDS000000039.2,PDT000025567.1,SAMN10249033,GCA_003939775.1
PDS000000039.2,PDT000025569.1,SAMN10248945,GCA_003940185.1
PDS000000039.2,PDT000025571.1,SAMN10249053,GCA_003940215.1
PDS000000039.2,PDT000025572.1,SAMN10249104,GCA_003940245.1
PDS000000039.2,PDT000025573.1,SAMN10249034,GCA_003940995.1
PDS000000039.2,PDT000025602.1,SAMN10249215,GCA_003965125.1
